original_path,destination_path,source_sha256,destination_sha256,role,disposition,reason,verification
"config/camera.yaml","src/rosy_control/config/camera.yaml","5b4ace98b0f18743e3aecf79421c1644a11e6f505c6aa65642fc822523118de6","5b4ace98b0f18743e3aecf79421c1644a11e6f505c6aa65642fc822523118de6","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/cliff_calib.yaml","src/rosy_control/config/cliff_calib.yaml","d3530410654e7599817d46b093305f35844bc07195a1882130034aa63a4ad22d","d3530410654e7599817d46b093305f35844bc07195a1882130034aa63a4ad22d","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/control.yaml","src/rosy_control/config/control.yaml","0d581c777b02bd5ca77c5dabb33e76da144e50922b130f633139c194a0ca15e2","0d581c777b02bd5ca77c5dabb33e76da144e50922b130f633139c194a0ca15e2","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/goal.yaml","src/rosy_control/config/goal.yaml","e8c77f8ca219c4fde140e63d672b1a60f3ab1a25535d3f0e17ca69c1c4f8f01d","e8c77f8ca219c4fde140e63d672b1a60f3ab1a25535d3f0e17ca69c1c4f8f01d","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/localization.yaml","src/rosy_control/config/localization.yaml","b3e98b60d89d3e48847d14b8a4f5f8f2bad7ace4469d972c7f27cb578b83a825","b3e98b60d89d3e48847d14b8a4f5f8f2bad7ace4469d972c7f27cb578b83a825","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/mapper.yaml","src/rosy_control/config/mapper.yaml","5fdbb55633046d926f95f7d32eb85e366658e16d53d14553aed29a021feacf7c","5fdbb55633046d926f95f7d32eb85e366658e16d53d14553aed29a021feacf7c","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/robot.yaml","src/rosy_control/config/robot.yaml","293aedfc9b3e41184a3222ab057fe2e573217f320c3ef45f3e75743a6e2b9b5d","293aedfc9b3e41184a3222ab057fe2e573217f320c3ef45f3e75743a6e2b9b5d","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/safety.yaml","src/rosy_control/config/safety.yaml","678c4d78fbf4f0ce5e7fe91b6af2a40a9a3c0ef3407937aadece718df8177139","678c4d78fbf4f0ce5e7fe91b6af2a40a9a3c0ef3407937aadece718df8177139","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/wander.yaml","src/rosy_control/config/wander.yaml","5525a11561c369de3b16c98036c5a4f125f7b27c393186230fc7cbf2f2c15fdc","5525a11561c369de3b16c98036c5a4f125f7b27c393186230fc7cbf2f2c15fdc","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"config/web.yaml","src/rosy_control/config/web.yaml","34d5905e662a13c4192d3d51a3240129b026577970cc10122bf0c36d2b61b456","34d5905e662a13c4192d3d51a3240129b026577970cc10122bf0c36d2b61b456","config","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"docs/archive/2026-09-08-session-wip/README.md","src/rosy_control/docs/archive/2026-09-08-session-wip/README.md","18a92f236cee64ae3e6317883c22cd89e5825117f2fa5fb2ef84e7b92e600ecc","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/archive/2026-09-08-session-wip/browser.json","src/rosy_control/docs/archive/2026-09-08-session-wip/browser.json","114f318ab564895bd1d8e8a268187568623e53078669bc094630b688b72188d0","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/archive/2026-09-08-session-wip/candidate.png","src/rosy_control/docs/archive/2026-09-08-session-wip/candidate.png","395d424a5895ccf8f5892dc552e435af12d12468c3e3a2690e2c63875764f41c","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/archive/2026-09-08-session-wip/paused-scan-rotation-test.py.txt","src/rosy_control/docs/archive/2026-09-08-session-wip/paused-scan-rotation-test.py.txt","304b91b29edc5eaa682b96ec227d72fde782415133a59055ac4c4f8c9c7e677c","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/archive/2026-09-08-session-wip/rotation-plan.md","src/rosy_control/docs/archive/2026-09-08-session-wip/rotation-plan.md","d13d92f4e6ba42afb865a5e43955cea64b85a5e4e1de2c57f76bd1f5f5ed39ea","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/camera-ground-calibration.md","src/rosy_control/docs/camera-ground-calibration.md","27935eb320001bfffb0356799f7434b728e0cbd651bff4c82167133f81689301","27935eb320001bfffb0356799f7434b728e0cbd651bff4c82167133f81689301","documentation","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"docs/evidence/2026-09-07-map-display/after.json","src/rosy_control/docs/evidence/2026-09-07-map-display/after.json","fc38f4f6832b283d14f3d74a9be1f3b827f8b523f4ab91b2c6dccea577ad6e48","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/after.png","src/rosy_control/docs/evidence/2026-09-07-map-display/after.png","40ce1c1e6d411cbd23dce57228841d7cd80185f2527156f8ec0d62177fdb1b6b","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/before.json","src/rosy_control/docs/evidence/2026-09-07-map-display/before.json","a6e64d8488304f82f17bd2475775ff4a1bada99e57040788e54014d11b0a4894","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/before.png","src/rosy_control/docs/evidence/2026-09-07-map-display/before.png","16f181935124a6e7b1b8867e6f9e9a4beaa01ecbf36226ad632a0a87b41394d2","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/current-patch.json","src/rosy_control/docs/evidence/2026-09-07-map-display/current-patch.json","3caf3506e6fab1dd3e85a75385bf99700b6dcf1d72e7bb8bb7b0dd96c9895540","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/current-verified.json","src/rosy_control/docs/evidence/2026-09-07-map-display/current-verified.json","f428f6515bfc5db780e3cfc9f5e6451c236928e780c7caa0599af2135988a6e9","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/current-verified.png","src/rosy_control/docs/evidence/2026-09-07-map-display/current-verified.png","f7aae9ee626b9eba247c35c8827de9e7478587c325b8fff0db38064870703d8e","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/final-drift.json","src/rosy_control/docs/evidence/2026-09-07-map-display/final-drift.json","8fc935a9d5db44c37938c7b3d8d061340cd8bdc6a988eb70b0889d364d9b3b3d","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/repeat.json","src/rosy_control/docs/evidence/2026-09-07-map-display/repeat.json","dfac79dd1757703e9dd445ea887ee561fdc293a26a3d210221ddea07ff1adb47","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/runtime-patch.json","src/rosy_control/docs/evidence/2026-09-07-map-display/runtime-patch.json","80c6202a7b73990e6770cef0d1b3d722adf28c59f44adf3d5f3e08d201dbd3fd","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-display/validation.json","src/rosy_control/docs/evidence/2026-09-07-map-display/validation.json","aebd27533bf189be08615f47a1f9f6073124c818f81cced7c23e611234f1d6db","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-structural/browser.json","src/rosy_control/docs/evidence/2026-09-07-map-structural/browser.json","82b94e0c075982e9784f3a57cfc26199a44f77c026e69f6daddcaf2ac146c9e4","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-structural/candidate.png","src/rosy_control/docs/evidence/2026-09-07-map-structural/candidate.png","16b32cd227a562d14d4de3ca31d557b3c8b1527286958a6a3f3f18308bedb333","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-structural/deployment.json","src/rosy_control/docs/evidence/2026-09-07-map-structural/deployment.json","36a4a6b6d6f997614155139a74c71dff81e633910f2e2db852c659ca22febd07","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-structural/repeat.json","src/rosy_control/docs/evidence/2026-09-07-map-structural/repeat.json","cc8aebfcadcff415e04e8de0ba20a3dd2d007ab2d68580729f896b1e3d939214","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-07-map-structural/report.json","src/rosy_control/docs/evidence/2026-09-07-map-structural/report.json","20564cb3d8cc47d154c7eebd6220cb1e093b8ed4e8b8e7dc1c78b63354cfad4e","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-08-gazebo-map/browser.json","src/rosy_control/docs/evidence/2026-09-08-gazebo-map/browser.json","114f318ab564895bd1d8e8a268187568623e53078669bc094630b688b72188d0","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/evidence/2026-09-08-gazebo-map/candidate.png","src/rosy_control/docs/evidence/2026-09-08-gazebo-map/candidate.png","395d424a5895ccf8f5892dc552e435af12d12468c3e3a2690e2c63875764f41c","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/localization.md","src/rosy_control/docs/localization.md","d90642b81f49435a89a621ed77971934b591656e8c264dcfa705df2b945707df","d90642b81f49435a89a621ed77971934b591656e8c264dcfa705df2b945707df","documentation","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"docs/narrow-passage-navigation.md","src/rosy_control/docs/narrow-passage-navigation.md","f26c1657dc703ee51e512074b26472077580f8d7975681a78af59ff7583351fb","f26c1657dc703ee51e512074b26472077580f8d7975681a78af59ff7583351fb","documentation","copied","T1 package, test, required fixture, or operating source","OS-local pytest and package ownership checks"
"docs/plans/2026-09-07-auto-calibration-safety-profile.md","src/rosy_control/docs/plans/2026-09-07-auto-calibration-safety-profile.md","ed4729b307f10fdd7f601279e7ca5bf42d83635945061e72cdd097eb64aab899","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-automatic-calibration.md","src/rosy_control/docs/plans/2026-09-07-automatic-calibration.md","8b3b770fdf9ab4e0b00afab4f126373fd3817674b1fd8edd11921326b8da9194","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-map-view-angle.md","src/rosy_control/docs/plans/2026-09-07-map-view-angle.md","68e01f99df37ae92a4ce22720a8ca7d2365d356235b4eec786c8689619003cc3","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-rotation-calibration.md","src/rosy_control/docs/plans/2026-09-07-rotation-calibration.md","d13d92f4e6ba42afb865a5e43955cea64b85a5e4e1de2c57f76bd1f5f5ed39ea","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-round-trip-calibration.md","src/rosy_control/docs/plans/2026-09-07-round-trip-calibration.md","c8796cd2ac0c227e8d1709acc7aaebb0084b0ddd27d5f1cbc620e3812ea0fa52","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-startup-calibration.md","src/rosy_control/docs/plans/2026-09-07-startup-calibration.md","4080e183a3a759cf41e5a1c001968be194f532859df42d06e4990b29d126a6bc","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-tf-navigation-audit.md","src/rosy_control/docs/plans/2026-09-07-tf-navigation-audit.md","c3a8b00dfe4be256637366ec90d0a39975f6ee35e603efaa4eb9c51d13272ac2","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-07-vacuum-navigation.md","src/rosy_control/docs/plans/2026-09-07-vacuum-navigation.md","7c55ee70edb964e1788f1a5b3c8abac8550c4dcb1fd8c7d42789baea3e81d8bb","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-calibration-application.md","src/rosy_control/docs/plans/2026-09-08-calibration-application.md","311c709dbafb994e36705cde78c9f03f8aed979e503074a0f397da8df0157ebf","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-calibration-space-relocation.md","src/rosy_control/docs/plans/2026-09-08-calibration-space-relocation.md","20dc106819f9503b71f97c3df9a4ea9e2cc7b6b704eb3f37f8386c6d75227adc","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-dashboard-operations.md","src/rosy_control/docs/plans/2026-09-08-dashboard-operations.md","1cc162015293bbb87c7f31e232f033cb383882ac804b5fb19b77a2f67c24a897","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-directional-calibration-clearance.md","src/rosy_control/docs/plans/2026-09-08-directional-calibration-clearance.md","c009d8bdcad0f4e4f272bda46644f880717fe58fc4f9a53572b6f02ed33f7d5d","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-dynamic-obstacles.md","src/rosy_control/docs/plans/2026-09-08-dynamic-obstacles.md","9fde64eab466741b269ef7fd26d06706a471a39f5bc8ebd9e4fdb8425e269cef","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-local-main-consolidation.md","src/rosy_control/docs/plans/2026-09-08-local-main-consolidation.md","1a5fee5ac2bbd0e7f558ceaeed68ebe82a2e2c32bc800145670c204ddb578eb6","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-map-relocalization.md","src/rosy_control/docs/plans/2026-09-08-map-relocalization.md","b2722f26f54398439b08b62078295b62a5b89530b3917f884490a2ad75318765","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-preserve-calibrated-settings.md","src/rosy_control/docs/plans/2026-09-08-preserve-calibrated-settings.md","39f754c73fdebb043bd5370985fec61f083b0cb7447a0b9c618e716c093243f7","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-rosy-fleet-folder-transition.md","src/rosy_control/docs/plans/2026-09-08-rosy-fleet-folder-transition.md","de1d1491c6847384633c236d4bcbe72a6c291ffd0d3a7fb766376150b24133cb","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-safety-foundation-progress.md","src/rosy_control/docs/plans/2026-09-08-safety-foundation-progress.md","c0e891410bff1a51d42d1d756373b51ce87b561200567bb11accfdf95f7d63d3","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-track-navigation-fix.md","src/rosy_control/docs/plans/2026-09-08-track-navigation-fix.md","e67fd5b832ad087a4933afc7c6375b483c308f5fd14358cbf2aab5c3700a4608","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-verified-footprint.md","src/rosy_control/docs/plans/2026-09-08-verified-footprint.md","696411b8bb5602aff8cb7cf2edeb94ee5e43a85b38665f7f7d6ab74cc369166d","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-08-web-navigation-strategies.md","src/rosy_control/docs/plans/2026-09-08-web-navigation-strategies.md","11adc998990bca660132ee5f6698b042db2a3c7d2f8b0ea7e8687407839ecab5","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-calibration-button-consolidation.md","src/rosy_control/docs/plans/2026-09-09-calibration-button-consolidation.md","0c49d26df3e402d6e7791075911ff5eedb50c1542f1a6cc425283ea5f441ed25","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-calibration-runtime-separation.md","src/rosy_control/docs/plans/2026-09-09-calibration-runtime-separation.md","066c14c905f778eedc59d7515aabba7ac6f48dabf53db1417ae9075082c92822","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-configured-operation.md","src/rosy_control/docs/plans/2026-09-09-configured-operation.md","34d03cc4f169f5e2c5696aad7c1d5246f8a82ca83152cd43422af7672985d40d","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-live-navigation-recovery.md","src/rosy_control/docs/plans/2026-09-09-live-navigation-recovery.md","87224432b309084f7b312c51aa6ea2220db5c2d25882fe2a3911419aa4aeb10b","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-rosy-control-package-rename.md","src/rosy_control/docs/plans/2026-09-09-rosy-control-package-rename.md","fe680f9e51eb0eff63acd6d37bda60f577aa47d18f2b516c38bab74962e26264","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-selective-startup.md","src/rosy_control/docs/plans/2026-09-09-selective-startup.md","42984847f6fabede809aee92379ba757517846f7aff769dbd831a9db27ca4894","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-sensor-recovery-before-calibration.md","src/rosy_control/docs/plans/2026-09-09-sensor-recovery-before-calibration.md","0edc0ddb19f22fa397ba3f5bfecfee4f60884b2dcf0034a2c176e0e35a1b7e48","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-startup-diagnosis.md","src/rosy_control/docs/plans/2026-09-09-startup-diagnosis.md","958c13ec2145f7ea078b9402747809677418e9013b350e9f3693268154781929","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-09-stationary-partial-sensing.md","src/rosy_control/docs/plans/2026-09-09-stationary-partial-sensing.md","298d1e85ac28532878a7c80a2158f0318e907c472aca94fb2b725cccc3a0a2ec","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-10-calibration-button-consolidation-plan.md","src/rosy_control/docs/plans/2026-09-10-calibration-button-consolidation-plan.md","ef75df8d6085b4b88d7c369551e9a37758ee96e89e93db2574e5f45c1d055437","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-10-gazebo-dashboard-parity.md","src/rosy_control/docs/plans/2026-09-10-gazebo-dashboard-parity.md","dc540640e97731f75130afcafa416537667cba6529d010c555cdf677dbd92c6f","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/plans/2026-09-10-precision-envelope-and-execution-escape.md","src/rosy_control/docs/plans/2026-09-10-precision-envelope-and-execution-escape.md","68dd0251237ed2e754b3dbc2f7cf003ba97f3089066b560c8e3fd7cdb4ce1508","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/research/2026-09-07-calibration-motion-observability.md","src/rosy_control/docs/research/2026-09-07-calibration-motion-observability.md","2ca68044a044b5117e1b08d7b113f1d35decadb567f3e3ec8973762503585875","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/research/2026-09-08-gazebo-calibration-mapping.md","src/rosy_control/docs/research/2026-09-08-gazebo-calibration-mapping.md","fe88ac6e86aec0ff7a4328bbe7c8947877ca4b7aa1412f06b10552316f12ef9a","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/research/paused-scan-rotation-test.py.txt","src/rosy_control/docs/research/paused-scan-rotation-test.py.txt","304b91b29edc5eaa682b96ec227d72fde782415133a59055ac4c4f8c9c7e677c","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/solutions/ui-bugs/pinky-map-display-regression.md","src/rosy_control/docs/solutions/ui-bugs/pinky-map-display-regression.md","9757b1d0de0a1791c85c56e83c93721d9997e6d6d0300120d1e2d1b458e18f9e","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/2026-09-08-motion-contract/analyzed-attempt3.json","src/rosy_control/docs/validation/2026-09-08-motion-contract/analyzed-attempt3.json","bb9dad94620b2cbf7800825bb1e805225c279998cc1e2b559ae650b67be0b8be","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/2026-09-08-motion-contract/trace-attempt3.json","src/rosy_control/docs/validation/2026-09-08-motion-contract/trace-attempt3.json","2b312612f70afe6cfb579fde781e0deafb6bc61a81433682197952451b77126d","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/2026-09-08-motion-contract/trace-rerun.json","src/rosy_control/docs/validation/2026-09-08-motion-contract/trace-rerun.json","63d16659a25407b68e4372f3c7e6321e47bed034de82f2c7a75bc8eceaa0b46b","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/2026-09-08-motion-contract/trace.json","src/rosy_control/docs/validation/2026-09-08-motion-contract/trace.json","cae4163496f36ae91ab5278c17e4ba7003e0d062d8c4aa0693d473df9c33b611","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/2026-09-08-rosy-control-integration.md","src/rosy_control/docs/validation/2026-09-08-rosy-control-integration.md","b387e52c130a915c584fc88cf75d040f7264105924549cff6a931c9a08ff7484","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/.gitattributes","src/rosy_control/docs/validation/calibration-spaces/.gitattributes","0b241822b4c05538575f5568db1bd00c26d0fe21635e74c87f4c00e7ed7697b1","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/README.md","src/rosy_control/docs/validation/calibration-spaces/README.md","949108702bb433f36eadc8deb08a6f1e73c28362a25759a93bbfd993e91527ca","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/baseline-open/calibration.json","src/rosy_control/docs/validation/calibration-spaces/baseline-open/calibration.json","25b0e6972a25a8b5fc2b6bcd29c1db980f8f68f4aeb7dc7c8653e355b10307a0","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/baseline-open/run_manifest.json","src/rosy_control/docs/validation/calibration-spaces/baseline-open/run_manifest.json","cbd486c2008b226830187d3c323bdaadca01ba7ca026dfae8222eb744f97981e","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/baseline-open/stack.log","src/rosy_control/docs/validation/calibration-spaces/baseline-open/stack.log","93e7ec62019895e02ec038ac198c206787ddf20c63b6b25397322e7b15d302ec","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/baseline-open/track_identity.json","src/rosy_control/docs/validation/calibration-spaces/baseline-open/track_identity.json","5aa3dadcb3e06cd67224fa643bffe358db9758aff862be4f9342b791d7901677","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
"docs/validation/calibration-spaces/baseline-open/track_last_status.json","src/rosy_control/docs/validation/calibration-spaces/baseline-open/track_last_status.json","23e9053c69b6594029690e70e782df1b671296bbca6dc0ccf4ab9dfa792e7530","","documentation","deferred","Not required by T1 independent package baseline; review in later parity task","T5/T7 parity inventory review"
